OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1998-029A","USA 139","25336","US","1436.12","7.84","35957","35618","","0","1998-05-09",""
"1998-028D","SL-12 R/B(2)","25334","CIS","790.43","15.81","35865","8015","LARGE","0","1998-05-07",""
"1998-028A","ECHOSTAR 4","25331","US","1455.26","9.87","36212","36110","LARGE","0","1998-05-07",""
"1998-027A","COSMOS 2351","25327","CIS","717.04","64.10","38599","1719","LARGE","0","1998-05-07",""
"1998-026B","IRIDIUM 71","25320","US","100.02","86.39","760","759","LARGE","0","1998-05-02",""
"1998-026A","IRIDIUM 69","25319","US","100.05","86.39","763","759","LARGE","0","1998-05-02",""
"1998-025D","SL-12 R/B(2)","25318","CIS","1439.08","13.55","35992","35698","LARGE","0","1998-04-29",""
"1998-025A","COSMOS 2350","25315","CIS","1436.29","13.53","35822","35759","LARGE","0","1998-04-29",""
"1998-024B","BSAT-1B","25312","JPN","1452.77","9.05","36124","36101","LARGE","0","1998-04-28",""
"1998-024A","NILESAT","25311","EGYP","1478.52","8.00","36725","36501","LARGE","0","1998-04-28",""
"1998-023D","GLOBALSTAR M008","25309","GLOB","116.50","52.00","1525","1522","LARGE","0","1998-04-24",""
"1998-023C","GLOBALSTAR M015","25308","GLOB","125.34","51.98","1929","1908","LARGE","0","1998-04-24",""
"1998-023B","GLOBALSTAR M006","25307","GLOB","124.34","51.99","1877","1871","LARGE","0","1998-04-24",""
"1998-023A","GLOBALSTAR M014","25306","GLOB","123.56","51.98","1840","1839","LARGE","0","1998-04-24",""
"1998-021B","IRIDIUM 63","25286","US","100.33","86.40","776","773","LARGE","0","1998-04-07",""
"1993-014F","START 1 DEB","25284","CIS","100.93","75.76","935","670","MEDIUM","0","1993-03-25",""
"1989-062F","ARIANE 44LP DEB","25282","FR","526.29","7.76","30025","404","LARGE","0","1989-08-08",""
"1998-020B","PEGASUS R/B","25281","US","94.59","97.45","505","492","LARGE","0","1998-04-02",""
"1998-020A","TRACE","25280","US","94.72","97.46","518","492","LARGE","0","1998-04-02",""
"1989-062E","ARIANE 44LP DEB","25279","FR","572.51","7.12","32556","366","LARGE","0","1989-08-08",""
"1998-019B","IRIDIUM 57","25273","US","100.37","86.39","778","774","LARGE","0","1998-03-30",""
"1968-055E","DELTA 1 DEB","25270","US","143.92","120.66","4667","770","SMALL","0","1968-07-04",""
"1998-018A","IRIDIUM 51","25262","US","96.17","86.39","701","449","LARGE","0","1998-03-25",""
"1998-017B","ARIANE 40 R/B","25261","FR","100.39","98.82","780","774","LARGE","0","1998-03-24",""
"1998-017A","SPOT 4","25260","FR","99.03","98.26","721","704","LARGE","0","1998-03-24",""
"1998-016A","UFO 8 (USA 138)","25258","US","1434.54","9.74","35759","35753","LARGE","0","1998-03-16",""
"1981-043D","SL-3 DEB","25255","CIS","102.27","81.28","899","832","SMALL","0","1981-05-14",""
"1993-059H","SL-16 DEB","25254","CIS","101.27","70.99","831","807","SMALL","0","1993-09-16",""
"1978-068C","ATLAS CENTAUR DEB","25253","US","639.97","21.75","35592","852","MEDIUM","0","1978-06-29",""
"1987-068BP","SL-14 DEB","25246","CIS","101.82","82.25","904","785","SMALL","0","1987-08-18",""
"1998-014A","NSS 806 (INTELSAT 806)","25239","SES","1453.38","4.10","36138","36110","LARGE","0","1998-02-28",""
"1998-013A","EUTE 16B (HB 4)","25237","EUTE","1465.23","8.55","36392","36318","LARGE","0","1998-02-27",""
"1987-068BE","SL-14 DEB","25227","CIS","101.12","82.53","824","800","SMALL","0","1987-08-18",""
"1987-068BD","SL-14 DEB","25226","CIS","102.58","82.52","936","825","MEDIUM","0","1987-08-18",""
"1987-068BC","SL-14 DEB","25225","CIS","101.91","82.51","893","805","SMALL","0","1987-08-18",""
"1987-068AY","SL-14 DEB","25221","CIS","106.32","82.30","1179","933","SMALL","0","1987-08-18",""
"1987-068AR","SL-14 DEB","25214","CIS","102.53","82.55","889","868","SMALL","0","1987-08-18",""
"1987-068AG","SL-14 DEB","25205","CIS","103.42","82.54","930","911","SMALL","0","1987-08-18",""
"1987-068AF","SL-14 DEB","25204","CIS","103.29","82.43","1001","827","SMALL","0","1987-08-18",""
"1987-068AE","SL-14 DEB","25203","CIS","101.28","82.27","888","751","SMALL","0","1987-08-18",""
"1987-068AA","SL-14 DEB","25199","CIS","104.59","82.36","1049","902","SMALL","0","1987-08-18",""
"1987-068N","SL-14 DEB","25187","CIS","100.80","82.55","809","784","SMALL","0","1987-08-18",""
"1998-011A","COMETS","25175","JPN","328.07","30.15","17722","1036","LARGE","0","1998-02-21",""
"1998-008D","GLOBALSTAR M003","25165","GLOB","118.82","51.96","1635","1621","LARGE","0","1998-02-14",""
"1998-008C","GLOBALSTAR M002","25164","GLOB","123.98","52.00","1859","1857","LARGE","0","1998-02-14",""
"1998-008B","GLOBALSTAR M004","25163","GLOB","113.98","52.00","1411","1407","LARGE","0","1998-02-14",""
"1998-008A","GLOBALSTAR M001","25162","GLOB","116.30","52.00","1515","1514","LARGE","0","1998-02-14",""
"1998-007E","TAURUS DEB","25161","US","100.98","108.00","849","761","LARGE","0","1998-02-10",""
"1998-007D","CELESTIS 02/TAURUS R/B","25160","US","101.28","107.99","865","774","LARGE","0","1998-02-10",""
"1998-007C","ORBCOMM FM 4","25159","ORB","100.63","107.98","821","756","MEDIUM","0","1998-02-10",""
"1998-007B","ORBCOMM FM 3","25158","ORB","100.65","107.99","825","754","MEDIUM","0","1998-02-10",""
"1998-007A","GFO","25157","US","95.49","108.04","647","437","LARGE","0","1998-02-10",""
"1963-049N","TRANSIT 5B-2 DEB","25156","US","106.27","89.91","1084","1023","MEDIUM","0","1963-12-05",""
"1998-006B","INMARSAT 3-F5","25153","IM","1436.14","7.03","35809","35766","LARGE","0","1998-02-04",""
"1998-006A","BRAZILSAT B3","25152","BRAZ","1451.31","8.27","36103","36065","LARGE","0","1998-02-04",""
"1998-005B","ATLAS 2A R/B","25149","US","696.03","62.27","38570","706","LARGE","0","1998-01-29",""
"1998-005A","USA 137","25148","US","","","","","","0","1998-01-29","NO LONGER ON ORBIT"
"1998-002E","DELTA 2 DEB","25138","US","105.13","26.88","1245","756","LARGE","0","1998-01-10",""
"1998-002C","DELTA 2 R/B(2)","25136","US","654.97","23.65","35967","1243","LARGE","0","1998-01-10",""
"1998-002B","DELTA 2 R/B(1)","25135","US","105.69","26.88","1290","763","LARGE","0","1998-01-10",""
"1998-002A","SKYNET 4D","25134","UK","1452.26","12.02","36126","36079","LARGE","0","1998-01-10",""
"1997-086A","HGS 1 (ASIASAT 3)","25126","US","1436.51","11.24","36020","35569","LARGE","0","1997-12-24",""
"1967-065E","THOR BURNER 2 DEB","25122","US","172.47","90.12","3923","3848","SMALL","0","1967-06-29",""
"1997-084H","ORBCOMM FM 7","25119","ORB","99.96","45.01","759","754","MEDIUM","0","1997-12-23",""
"1997-084G","ORBCOMM FM 6","25118","ORB","99.96","45.02","758","755","MEDIUM","0","1997-12-23",""
"1997-084F","ORBCOMM FM 5","25117","ORB","99.95","45.02","759","754","MEDIUM","0","1997-12-23",""
"1997-084E","ORBCOMM FM 9","25116","ORB","99.97","45.02","762","752","MEDIUM","0","1997-12-23",""
"1997-084D","ORBCOMM FM 12","25115","ORB","99.97","45.02","761","753","MEDIUM","0","1997-12-23",""
"1997-084C","ORBCOMM FM 11","25114","ORB","99.97","45.02","762","752","MEDIUM","0","1997-12-23",""
"1997-084B","ORBCOMM FM 10","25113","ORB","99.96","45.02","761","753","MEDIUM","0","1997-12-23",""
"1997-084A","ORBCOMM FM 8","25112","ORB","99.96","45.01","762","751","MEDIUM","0","1997-12-23",""
"1997-083A","INTELSAT 804","25110","ITSO","1437.90","11.95","35852","35792","LARGE","0","1997-12-21",""
"1997-082B","IRIDIUM 24","25105","US","99.97","86.39","764","750","LARGE","0","1997-12-20",""
"1997-082A","IRIDIUM 45","25104","US","96.58","86.38","731","458","LARGE","0","1997-12-20",""
"1967-065D","THOR BURNER 2 DEB","25101","US","171.88","90.39","3933","3792","SMALL","0","1967-06-29",""
"1979-104D","ARIANE 1 DEB","25098","ESA","326.30","17.68","18251","393","MEDIUM","0","1979-12-24",""
"1966-077S","OPS 0856 DEB","25097","US","162.64","89.13","4955","2029","SMALL","0","1966-08-19",""
"1997-078A","GALAXY 8","25086","US","1444.25","13.26","35993","35899","LARGE","0","1997-12-08",""
"1991-009CX","SL-8 DEB","25085","CIS","117.69","74.11","1717","1437","SMALL","0","1991-02-12",""
"1997-077B","IRIDIUM 44","25078","US","100.09","86.40","765","760","LARGE","0","1997-12-08",""
"1997-077A","IRIDIUM 42","25077","US","100.35","86.40","776","774","LARGE","0","1997-12-08",""
"1997-076D","SL-12 R/B(2)","25074","CIS","837.47","11.97","35693","10413","LARGE","0","1997-12-02",""
"1997-076A","ASTRA 1G","25071","SES","1436.04","6.89","35806","35765","LARGE","0","1997-12-02",""
"1997-075B","EQUATOR S","25068","GER","1336.49","8.13","67060","567","LARGE","0","1997-12-02",""
"1997-075A","JCSAT 5","25067","JPN","1459.67","9.29","36307","36186","LARGE","0","1997-12-02",""
"1990-036C","SL-8 DEB","25057","CIS","104.12","82.94","967","940","SMALL","0","1990-04-20",""
"1997-070F","SL-12 R/B(AUX MOTOR)","25054","CIS","201.55","46.63","9798","220","MEDIUM","0","1997-11-12",""
"1997-070E","SL-12 R/B(AUX MOTOR)","25053","CIS","595.71","46.04","32759","1389","MEDIUM","0","1997-11-12",""
"1997-071B","INDOSTAR 1","25050","INDO","1437.26","11.63","35825","35794","LARGE","0","1997-11-11",""
"1997-071A","SIRIUS 2 (GE-1E)","25049","SWED","1448.63","10.01","36055","36009","LARGE","0","1997-11-11",""
"1997-070D","SL-12 R/B(2)","25048","CIS","1445.33","14.85","36043","35892","LARGE","0","1997-11-12",""
"1997-070A","KUPON","25045","CIS","1435.92","14.64","35788","35778","MEDIUM","0","1997-11-12",""
"1997-069E","IRIDIUM 38","25043","US","100.23","86.40","770","769","LARGE","0","1997-11-09",""
"1997-069D","IRIDIUM 39","25042","US","99.51","86.40","750","721","LARGE","0","1997-11-09",""
"1997-068B","TITAN 4A CENTAUR R/B","25035","US","","","","","","0","1997-11-08","NO LONGER ON ORBIT"
"1997-068A","USA 136","25034","US","717.80","64.08","37061","3294","","0","1997-11-08",""
"1997-067A","NAVSTAR 44 (USA 135)","25030","US","764.18","55.65","21361","21258","LARGE","0","1997-11-06",""
"1993-036D","SL-8 DEB","25028","CIS","100.18","74.04","774","760","SMALL","0","1993-06-16",""
"1992-053D","SL-8 DEB","25027","CIS","100.03","74.03","763","757","SMALL","0","1992-08-12",""
"1997-066D","ARIANE 5 DEB (SPELTRA)","25026","FR","467.19","7.84","26578","555","LARGE","0","1997-10-30",""
"1997-066C","TEAMSAT","25025","ESA","467.58","7.81","26598","556","MEDIUM","0","1997-10-30",""
"1997-066B","MAQSAT B","25024","ESA","466.24","7.85","26515","563","LARGE","0","1997-10-30",""
"1997-066A","MAQSAT H","25023","ESA","464.23","7.84","26381","583","LARGE","0","1997-10-30",""
"1997-065C","IABS R/B","25021","US","1424.91","14.40","35715","35420","LARGE","0","1997-10-25",""
"1997-065A","USA 134","25019","US","1436.03","11.38","35806","35765","LARGE","0","1997-10-25",""
"1997-064A","USA 133","25017","US","","","","","","0","1997-10-24","NO LONGER ON ORBIT"
"1997-062A","APSTAR 2R (TELSTAR 10)","25010","PRC","1451.43","8.19","36133","36040","LARGE","0","1997-10-16",""
"1997-061B","TITAN 4B CENTAUR R/B","25009","US","","","","","","0","1997-10-15","HELIOCENTRIC ORBIT (SUN)"
"1997-059A","ECHOSTAR 3","25004","US","1456.44","6.76","36250","36117","LARGE","0","1997-10-05",""
"1968-081H","TITAN 3C TRANSTAGE DEB","25001","US","1416.01","1.51","35687","35098","MEDIUM","0","1968-09-26",""
"1968-081G","TITAN 3C TRANSTAGE DEB","25000","US","1425.34","1.85","36071","35080","MEDIUM","0","1968-09-26",""
"1994-029ADD","PEGASUS DEB","24996","US","100.74","82.19","1022","565","SMALL","0","1994-05-19",""
"1987-079J","SL-12 DEB","24990","CIS","299.96","64.84","16177","754","MEDIUM","0","1987-09-16",""
"1994-029ACT","PEGASUS DEB","24985","US","106.02","81.51","1527","557","SMALL","0","1994-05-19",""
"1994-029ACN","PEGASUS DEB","24980","US","99.65","81.59","939","545","SMALL","0","1994-05-19",""
"1994-029ACL","PEGASUS DEB","24978","US","98.18","81.44","871","472","SMALL","0","1994-05-19",""
"1992-053C","SL-8 DEB","24974","CIS","100.56","74.06","802","769","SMALL","0","1992-08-12",""
"1994-029ACF","PEGASUS DEB","24973","US","101.00","82.02","1044","568","SMALL","0","1994-05-19",""
"1997-057A","IRS 1D","24971","IND","100.40","98.70","816","739","LARGE","0","1997-09-29",""
"1997-056C","IRIDIUM 36","24967","US","100.26","86.40","773","769","LARGE","0","1997-09-27",""
"1997-054A","MOLNIYA 1-90","24960","CIS","451.85","63.77","25022","1232","LARGE","0","1997-09-24",""
"1966-077R","OPS 0856 DEB","24959","US","160.78","86.95","5469","1364","SMALL","0","1966-08-19",""
"1997-053A","NSS 5 (INTELSAT 803)","24957","NETH","1452.97","7.99","36118","36115","LARGE","0","1997-09-23",""
"1966-040C","NIMBUS 2 DEB","24956","US","106.09","100.46","1079","1011","SMALL","0","1966-05-15",""
"1997-052C","SL-8 R/B","24955","CIS","104.22","82.92","979","937","LARGE","0","1997-09-23",""
"1997-052B","FAISAT 2V","24954","US","104.34","82.92","993","934","MEDIUM","0","1997-09-23",""
"1997-052A","COSMOS 2346","24953","CIS","104.37","82.92","995","935","LARGE","0","1997-09-23",""
"1997-051E","IRIDIUM 28","24948","US","100.27","86.39","773","770","LARGE","0","1997-09-14",""
"1997-051C","IRIDIUM 33","24946","US","100.42","86.38","783","773","LARGE","0","1997-09-14",""
"1997-051A","IRIDIUM 29","24944","US","100.33","86.39","776","773","LARGE","0","1997-09-14",""
"1997-050B","ATLAS 2AS CENTAUR R/B","24937","US","659.98","19.23","37151","313","LARGE","0","1997-09-04",""
"1997-050A","AMC-3 (GE-3)","24936","SES","1436.10","5.24","35800","35774","LARGE","0","1997-09-04",""
"1997-049C","ARIANE 44LP R/B","24933","FR","630.64","6.93","35744","220","LARGE","0","1997-09-02",""
"1997-049B","METEOSAT 7","24932","EUME","1464.75","12.64","36398","36293","LARGE","0","1997-09-02",""
"1997-049A","W75/ABS-1B (HOT BIRD 3)","24931","EUTE","1405.15","9.50","35296","35061","LARGE","0","1997-09-02",""
"1997-048B","DUMMY MASS 2","24926","PRC","96.94","86.34","619","606","LARGE","0","1997-09-01",""
"1997-048A","DUMMY MASS 1","24925","PRC","96.93","86.34","617","606","LARGE","0","1997-09-01",""
"1997-047B","PEGASUS R/B","24921","US","101.00","69.97","819","793","LARGE","0","1997-08-29",""
"1997-047A","FORTE","24920","US","100.93","69.95","817","789","LARGE","0","1997-08-29",""
"1997-046D","SL-12 R/B(2)","24919","CIS","800.81","12.90","35807","8568","LARGE","0","1997-08-28",""
"1997-046A","INTELSAT 5 (PAS 5)","24916","US","1436.11","7.83","35800","35774","LARGE","0","1997-08-28",""
"1981-059F","NOAA 7 DEB","24914","US","100.05","98.57","777","745","MEDIUM","0","1981-06-23",""
"1997-045B","DELTA 2 R/B","24913","US","","","","","","0","1997-08-25","HELIOCENTRIC ORBIT (SUN)"
"1997-045A","ACE","24912","US","","","","","","0","1997-08-25","HELIOCENTRIC ORBIT (SUN)"
"1981-070M","DELTA 1 DEB","24911","US","408.77","90.40","23174","560","SMALL","0","1981-08-03",""
"1997-043E","IRIDIUM 22","24907","US","100.37","86.39","778","774","LARGE","0","1997-08-21",""
"1997-043A","IRIDIUM 26","24903","US","100.29","86.39","774","771","LARGE","0","1997-08-21",""
"1997-042A","ABS 3 (AGILA 2)","24901","PRC","1450.70","8.84","36087","36057","LARGE","0","1997-08-19",""
"1997-041D","SL-12 R/B(2)","24897","CIS","1439.77","14.40","37365","34352","LARGE","0","1997-08-14",""
"1997-041A","COSMOS 2345","24894","CIS","1437.65","14.30","36502","35132","LARGE","0","1997-08-14",""
"1988-032C","SL-3 DEB","24893","CIS","96.09","97.51","596","547","SMALL","0","1988-04-20",""
"1997-040B","ARIANE 44P R/B","24892","FR","398.97","7.45","22855","293","LARGE","0","1997-08-08",""
"1997-040A","PAS 6","24891","US","1536.85","10.66","40677","34796","LARGE","0","1997-08-08",""
"1997-037A","ORBVIEW 2 (SEASTAR)","24883","US","100.42","98.71","780","777","LARGE","0","1997-08-01",""
"1997-036A","SUPERBIRD C","24880","JPN","1453.54","10.07","36170","36085","LARGE","0","1997-07-28",""
"1997-035A","NAVSTAR 43 (USA 132)","24876","US","717.97","55.55","20358","20006","LARGE","0","1997-07-23",""
"1997-034E","IRIDIUM 921","24873","US","94.70","86.39","510","498","LARGE","0","1997-07-09",""
"1997-034C","IRIDIUM 920","24871","US","99.99","86.40","765","751","LARGE","0","1997-07-09",""
"1997-034B","IRIDIUM 17","24870","US","100.25","86.40","773","768","LARGE","0","1997-07-09",""
"1992-086E","USA 89 R/B DEB","24867","US","","","","","","0","1992-12-02","NO LONGER ON ORBIT"
"1996-051H","SL-16 DEB","24866","CIS","102.11","71.12","904","812","SMALL","0","1996-09-04",""
"1992-086D","USA 89 R/B DEB","24865","US","","","","","","0","1992-12-02","NO LONGER ON ORBIT"
"1997-031A","INTELSAT 802","24846","ITSO","1467.75","9.00","36508","36300","LARGE","0","1997-06-25",""
"1997-028G","COSMOS 2344 DEB","24843","CIS","129.74","63.34","2985","1237","MEDIUM","0","1997-06-06",""
"1997-030G","IRIDIUM 911","24842","US","99.60","86.45","748","731","LARGE","0","1997-06-18",""
"1997-030F","IRIDIUM 16","24841","US","100.19","86.41","769","766","LARGE","0","1997-06-18",""
